"DateTime","(W/m2) Downward Shortwave Radiation (TerraClimate) at -98.7092E,29.7839N, 1958-01-01 to 2019-12-31"
"1973-09-01",205.7
"1973-10-01",162.7
"1973-11-01",122.3
"1973-12-01",103
"1974-01-01",115.9
"1974-02-01",135.6
"1974-03-01",187.2
"1974-04-01",214.7
"1974-05-01",265.1
"1974-06-01",263.4
"1974-07-01",285.5
"1974-08-01",266.7
"1974-09-01",205.7
"1974-10-01",162.7
"1974-11-01",117.9
"1974-12-01",131.4
"1975-01-01",102.2
"1975-02-01",177.4
"1975-03-01",163.1
"1975-04-01",224.4
"1975-05-01",253.3
"1975-06-01",312.2
"1975-07-01",302
"1975-08-01",248.3
"1975-09-01",206
"1975-10-01",177.4
"1975-11-01",117.5
"1975-12-01",106.1
"1976-01-01",116.6
"1976-02-01",146.6
"1976-03-01",183
"1976-04-01",213.3
"1976-05-01",242.2
"1976-06-01",286
"1976-07-01",281.6
"1976-08-01",270.4
"1976-09-01",230
"1976-10-01",184.3
"1976-11-01",138.3
"1976-12-01",117.6
"1977-01-01",138.6
"1977-02-01",157.9
"1977-03-01",174
"1977-04-01",202.5
"1977-05-01",264
"1977-06-01",286.5
"1977-07-01",249.1
"1977-08-01",275.9
"1977-09-01",224.1
"1977-10-01",157.3
"1977-11-01",123.8
"1977-12-01",116.9
"1978-01-01",113.3
"1978-02-01",165.6
"1978-03-01",197.9
"1978-04-01",240.3
"1978-05-01",238.4
"1978-06-01",282.2
"1978-07-01",290.2
"1978-08-01",260.2
"1978-09-01",230
"1978-10-01",180.8
"1978-11-01",144.8
"1978-12-01",115.3
"1979-01-01",101.2
"1979-02-01",126.4
"1979-03-01",148.2
"1979-04-01",191.9
"1979-05-01",249.8
"1979-06-01",286.4
"1979-07-01",263.6
"1979-08-01",260.5
"1979-09-01",228.9
"1979-10-01",199.1
"1979-11-01",136
"1979-12-01",109.9
"1980-01-01",99.3
"1980-02-01",151.7
"1980-03-01",193.9
"1980-04-01",245.6
"1980-05-01",246.8
"1980-06-01",316.6
"1980-07-01",311.5
"1980-08-01",260.5
"1980-09-01",208.4
"1980-10-01",180.3
"1980-11-01",126.7
